Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.4,13.45,13.33,13.38,7.851911,32600
2010-01-05,13.45,13.45,13.37,13.43,7.881251,23100
2010-01-06,13.46,13.55,13.46,13.52,7.9340660000000005,19400
2010-01-07,13.55,13.68,13.44,13.64,8.004491,25200
2010-01-08,13.5,13.7,13.5,13.66,8.016221,42500
2010-01-11,13.63,13.79,13.63,13.69,8.03383,22200
2010-01-12,13.59,13.71,13.59,13.62,7.992748,31200
2010-01-13,13.55,13.61,13.53,13.56,8.00574,20400
2010-01-14,13.55,13.61,13.55,13.58,8.017545,37200
2010-01-15,13.57,13.66,13.57,13.63,8.047066000000001,24400
2010-01-19,13.65,13.83,13.64,13.83,8.165146,45700
2010-01-20,13.83,13.95,13.78,13.9,8.206468,29000
2010-01-21,13.87,13.95,13.83,13.9,8.206468,24000
2010-01-22,13.83,13.94,13.71,13.75,8.117911,30600
2010-01-25,13.76,13.8,13.6,13.76,8.123819000000001,50700
2010-01-26,13.76,13.76,13.63,13.66,8.064776,23700
2010-01-27,13.68,13.79,13.68,13.75,8.117911,26800
2010-01-28,13.8,13.84,13.67,13.7,8.088395,28900
2010-01-29,13.67,13.78,13.67,13.74,8.112009,16500
2010-02-01,13.81,13.84,13.71,13.75,8.117911,36500
2010-02-02,13.71,13.99,13.71,13.92,8.218278999999999,27400
2010-02-03,13.97,14.03,13.92,13.99,8.259604,24300
2010-02-04,13.98,14.02,13.94,13.95,8.235992999999999,24700
2010-02-05,13.9,13.99,13.85,13.93,8.224186,19000
2010-02-08,13.9,14.1,13.9,14.04,8.289125,13300
2010-02-09,14.1,14.11,13.94,13.95,8.235992999999999,35300
2010-02-10,13.9,13.9,13.78,13.83,8.213426,25600
2010-02-11,13.88,13.91,13.74,13.79,8.189669,15500
2010-02-12,13.8,13.84,13.72,13.77,8.177794,12700
2010-02-16,13.79,13.89,13.75,13.88,8.243121,20900
2010-02-17,13.99,14.0,13.89,13.91,8.260938000000001,29700
2010-02-18,13.95,14.0,13.82,13.82,8.207485,18800
2010-02-19,13.75,13.85,13.66,13.69,8.130282000000001,21500
2010-02-22,13.64,13.64,13.26,13.4,7.958054,125900
2010-02-23,13.43,13.47,13.34,13.38,7.946181,27200
2010-02-24,13.41,13.54,13.41,13.47,7.9996279999999995,36300
2010-02-25,13.5,13.74,13.5,13.69,8.130282000000001,51700
2010-02-26,13.68,13.72,13.59,13.61,8.082767,23100
2010-03-01,13.58,13.61,13.56,13.61,8.082767,58600
2010-03-02,13.65,13.8,13.65,13.78,8.183729,61100
2010-03-03,13.75,13.87,13.75,13.87,8.237179,11900
2010-03-04,13.8,14.0,13.8,13.9,8.254995,23000
2010-03-05,13.9,14.0,13.86,13.98,8.302507,18200
2010-03-08,13.9,13.95,13.85,13.88,8.243121,26300
2010-03-09,13.86,13.86,13.68,13.81,8.201547,24100
2010-03-10,13.76,13.84,13.76,13.84,8.21936,16800
2010-03-11,13.73,13.8,13.68,13.76,8.221753,21700
2010-03-12,13.8,13.8,13.71,13.72,8.197856,15300
2010-03-15,13.78,13.8,13.71,13.75,8.21578,32000
2010-03-16,13.72,13.81,13.69,13.77,8.227730000000001,37200
2010-03-17,13.71,13.82,13.71,13.77,8.227730000000001,33500
2010-03-18,13.8,13.92,13.78,13.86,8.281504,23300
2010-03-19,13.94,13.94,13.82,13.94,8.329307,15300
2010-03-22,13.84,14.0,13.84,13.94,8.329307,43300
2010-03-23,13.89,13.97,13.81,13.84,8.269558,30400
2010-03-24,13.84,13.91,13.76,13.86,8.281504,30500
2010-03-25,13.82,13.9,13.79,13.87,8.287479,19700
2010-03-26,13.82,13.91,13.81,13.86,8.281504,18400
2010-03-29,13.9,13.94,13.83,13.9,8.305406,13600
2010-03-30,13.9,13.94,13.84,13.9,8.305406,10200
2010-03-31,13.96,14.02,13.9,14.0,8.365158000000001,26100
2010-04-01,14.03,14.12,14.03,14.09,8.418932,14600
2010-04-05,14.21,14.26,14.11,14.17,8.466732,34500
2010-04-06,14.12,14.22,14.11,14.16,8.460758,23800
2010-04-07,14.27,14.27,14.18,14.22,8.496605,16700
2010-04-08,14.17,14.22,14.16,14.21,8.490635000000001,18100
2010-04-09,14.18,14.23,14.14,14.16,8.460758,5100
2010-04-12,14.22,14.22,14.16,14.2,8.484656,25600
2010-04-13,14.15,14.18,14.1,14.18,8.523128999999999,23300
2010-04-14,14.13,14.22,14.12,14.19,8.529142,11600
2010-04-15,14.15,14.18,14.07,14.08,8.463018,23000
2010-04-16,14.07,14.1,13.9,13.9,8.354828999999999,41700
2010-04-19,13.94,14.04,13.66,13.76,8.270679,127100
2010-04-20,13.79,13.88,13.76,13.82,8.306739,29600
2010-04-21,13.83,13.95,13.76,13.89,8.348817,45800
2010-04-22,13.9,13.9,13.82,13.9,8.354828999999999,20400
2010-04-23,13.88,14.01,13.88,14.0,8.414933,10600
2010-04-26,13.97,14.11,13.97,14.06,8.450998,11400
2010-04-27,14.11,14.28,14.07,14.25,8.565197999999999,42200
2010-04-28,14.26,14.35,14.21,14.27,8.577225,27800
2010-04-29,14.25,14.3,14.13,14.21,8.541161,17100
2010-04-30,14.25,14.26,14.19,14.23,8.553183,4500
2010-05-03,14.3,14.43,14.22,14.32,8.607281,33000
2010-05-04,14.38,14.5,14.29,14.39,8.649355,29400
2010-05-05,14.32,14.36,14.27,14.28,8.583236,17700
2010-05-06,14.27,14.29,13.89,14.03,8.432963,35700
2010-05-07,14.29,14.29,13.87,14.08,8.463018,41600
2010-05-10,14.12,14.23,14.11,14.22,8.547169,40400
2010-05-11,14.2,14.24,14.16,14.23,8.553183,27800
2010-05-12,14.2,14.2,14.09,14.14,8.549555,43900
2010-05-13,14.15,14.17,14.11,14.12,8.537460000000001,8000
2010-05-14,14.15,14.17,14.01,14.1,8.52537,14500
2010-05-17,14.05,14.07,13.93,13.95,8.434672,34200
2010-05-18,14.01,14.12,14.01,14.09,8.519321000000001,22900
2010-05-19,14.05,14.08,13.95,14.01,8.470953,49900
2010-05-20,13.95,13.96,13.57,13.76,8.319792,31900
2010-05-21,13.64,13.95,13.46,13.82,8.356069,59100
2010-05-24,13.79,13.98,13.79,13.98,8.452811,36800
2010-05-25,13.89,14.1,13.8,13.96,8.440717,39400
2010-05-26,14.1,14.1,13.98,14.04,8.489087,17000
2010-05-27,14.07,14.26,13.92,14.14,8.549555,50900
2010-05-28,14.16,14.24,14.09,14.14,8.549555,28900
2010-06-01,14.14,14.2,14.1,14.19,8.579784,13300
2010-06-02,14.16,14.28,14.16,14.28,8.634197,22200
2010-06-03,14.33,14.35,14.24,14.35,8.676521000000001,38400
2010-06-04,14.27,14.35,14.27,14.29,8.640247,11900
2010-06-07,14.29,14.34,14.23,14.23,8.60397,18600
2010-06-08,14.2,14.27,14.16,14.2,8.585832,12200
2010-06-09,14.24,14.24,14.17,14.19,8.579784,27400
2010-06-10,14.19,14.23,14.19,14.23,8.60397,11900
2010-06-11,14.25,14.25,14.06,14.1,8.575992,26500
2010-06-14,14.06,14.24,14.0,14.2,8.636814999999999,50500
2010-06-15,14.15,14.26,14.13,14.21,8.642895,25900
2010-06-16,14.29,14.29,14.14,14.18,8.624647,19500
2010-06-17,14.18,14.24,14.18,14.23,8.655057000000001,13800
2010-06-18,14.26,14.27,14.2,14.25,8.667226,13600
2010-06-21,14.26,14.29,14.2,14.29,8.691554,39000
2010-06-22,14.23,14.29,14.15,14.18,8.624647,39000
2010-06-23,14.23,14.25,14.16,14.25,8.667226,18800
2010-06-24,14.27,14.33,14.27,14.33,8.715882,18200
2010-06-25,14.33,14.46,14.28,14.38,8.746295,39700
2010-06-28,14.38,14.38,14.25,14.28,8.685475,22800
2010-06-29,14.27,14.27,14.2,14.22,8.64898,36400
2010-06-30,14.22,14.34,14.21,14.3,8.697635,33900
2010-07-01,14.31,14.34,14.25,14.3,8.697635,14200
2010-07-02,14.3,14.41,14.3,14.4,8.758462,14700
2010-07-06,14.44,14.5,14.44,14.49,8.813198,16300
2010-07-07,14.49,14.57,14.44,14.5,8.819283,38000
2010-07-08,14.98,14.98,14.55,14.62,8.892268,18900
2010-07-09,14.65,14.65,14.52,14.6,8.880102,17400
2010-07-12,14.69,14.69,14.6,14.61,8.886187,15800
2010-07-13,14.54,14.6,14.47,14.53,8.888636,11800
