Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.5,14.5,14.3,14.5,9.094535,1700
2010-01-05,14.5,14.5,14.3,14.34,8.994181,3200
2010-01-06,14.33,14.38,14.3,14.38,9.019272,8400
2010-01-07,14.3,14.3,14.2,14.2,8.906369999999999,1300
2010-01-08,14.2,14.29,14.18,14.29,8.962824000000001,3100
2010-01-11,14.29,14.29,14.15,14.15,8.875014,2900
2010-01-12,14.15,14.21,14.15,14.21,8.912645,800
2010-01-13,14.12,14.17,14.12,14.13,8.910117,6600
2010-01-14,14.13,14.2,14.13,14.2,8.954265,700
2010-01-15,14.07,14.13,14.07,14.07,8.872288000000001,5000
2010-01-19,14.11,14.24,14.07,14.19,8.947958,14100
2010-01-20,14.21,14.22,14.16,14.16,8.929041999999999,900
2010-01-21,14.2,14.2,14.09,14.14,8.916428,1700
2010-01-22,14.14,14.14,14.05,14.07,8.872288000000001,1400
2010-01-25,14.4,14.6,14.35,14.58,9.193888000000001,7200
2010-01-26,14.53,14.56,14.49,14.55,9.17497,6600
2010-01-27,14.51,14.55,14.51,14.55,9.17497,1000
2010-01-28,14.55,14.57,14.55,14.57,9.187578,600
2010-01-29,14.55,14.68,14.5,14.68,9.256943,6100
2010-02-01,14.8,14.9,14.5,14.62,9.21911,6300
2010-02-02,14.63,14.7,14.63,14.7,9.269555,1200
2010-02-03,14.79,14.79,14.55,14.58,9.193888000000001,2800
2010-02-04,14.64,14.65,14.64,14.65,9.238025,300
2010-02-05,14.65,14.66,14.64,14.66,9.244327,700
2010-02-08,14.65,14.71,14.51,14.51,9.149747,1100
2010-02-09,14.56,14.56,14.53,14.53,9.162353,1000
2010-02-10,14.45,14.54,14.45,14.54,9.21687,200
2010-02-11,14.54,14.54,14.54,14.54,9.21687,200
2010-02-12,14.54,14.54,14.53,14.54,9.21687,1600
2010-02-16,14.54,14.54,14.5,14.5,9.191511,1600
2010-02-17,14.49,14.87,14.49,14.8,9.381684,6700
2010-02-18,14.8,14.88,14.8,14.88,9.432396,2000
2010-02-19,14.85,14.85,14.27,14.35,9.096428,19600
2010-02-22,14.35,14.35,14.16,14.16,8.975992999999999,3300
