Date,Open,High,Low,Close,Adj Close,Volume
2012-08-08,11.6,13.08,11.57,12.41,11.865444,10939900
2012-08-09,12.53,13.67,12.51,13.49,12.898052,1560700
2012-08-10,14.0,14.0,12.8,12.86,12.295698,1070500
2012-08-13,12.91,13.1,12.5,12.91,12.343505,395100
2012-08-14,13.05,13.06,12.86,12.93,12.362627,490400
2012-08-15,13.0,13.0,12.5,12.97,12.400869,540600
2012-08-16,12.76,12.95,12.6,12.77,12.209647,301400
2012-08-17,12.75,13.24,12.75,13.06,12.486921,559400
2012-08-20,13.1,13.1,12.9,13.0,12.429553,137200
2012-08-21,13.03,13.34,12.75,13.34,12.754636,188500
2012-08-22,13.22,13.45,13.0,13.33,12.745073,299700
2012-08-23,13.38,13.44,12.98,13.0,12.429553,503600
2012-08-24,13.0,13.0,12.65,12.89,12.324380999999999,408700
2012-08-27,12.8,12.87,12.68,12.79,12.228771,180400
2012-08-28,12.75,12.84,12.5,12.84,12.276577,137500
2012-08-29,12.79,13.09,12.64,13.02,12.448677,148800
2012-08-30,12.92,13.11,12.6,13.05,12.477361,290100
2012-08-31,13.07,13.15,12.75,12.98,12.410432,83500
2012-09-04,13.05,13.49,12.9,13.45,12.859808000000001,574100
2012-09-05,13.15,14.43,13.1,13.86,13.251816,961600
2012-09-06,14.16,14.58,13.94,14.41,13.777682,292500
2012-09-07,14.5,14.5,14.03,14.45,13.815928,213400
2012-09-10,14.49,14.5,14.27,14.42,13.787244,158200
2012-09-11,14.4,14.48,14.0,14.44,13.806365,395600
2012-09-12,14.47,14.5,14.1,14.45,13.815928,192600
2012-09-13,14.17,14.39,14.12,14.25,13.624703,206700
2012-09-14,14.35,14.59,14.02,14.4,13.768122,485600
2012-09-17,15.65,15.84,14.7,15.05,14.389598999999999,1183300
2012-09-18,15.35,15.35,14.85,15.1,14.437404999999998,933900
2012-09-19,15.3,15.3,14.97,15.1,14.437404999999998,390900
2012-09-20,15.04,15.43,15.0,15.29,14.619067999999999,617400
2012-09-21,15.4,16.18,15.15,15.97,15.269231,729900
2012-09-24,16.0,16.24,15.5,15.75,15.058883999999999,535900
2012-09-25,15.83,16.040001,15.1,15.22,14.552139000000002,429000
2012-09-26,15.2,15.3,14.5,14.99,14.332231,734200
2012-09-27,15.28,15.86,15.06,15.82,15.125813,351500
2012-09-28,15.83,16.530001000000002,15.5,16.450001,15.728166,2946000
2012-10-01,16.6,16.65,16.059998999999998,16.370001000000002,15.651678,442000
2012-10-02,16.469998999999998,16.98,16.18,16.219998999999998,15.508257,414000
2012-10-03,16.219998999999998,16.24,15.39,15.68,14.991957000000001,467600
2012-10-04,15.7,15.89,15.4,15.63,14.94415,373000
2012-10-05,15.64,15.88,15.25,15.38,14.705117999999999,268700
2012-10-08,15.28,15.58,15.12,15.21,14.542578,288800
2012-10-09,15.17,15.35,14.67,14.8,14.150570000000002,434500
2012-10-10,14.87,15.02,14.17,14.31,13.682072,569600
2012-10-11,14.67,15.15,14.66,15.11,14.446966,458900
2012-10-12,15.15,15.3,14.8,14.89,14.236623000000002,141200
2012-10-15,14.91,14.91,14.25,14.8,14.150570000000002,207000
2012-10-16,14.77,15.06,14.77,14.86,14.207935999999998,85100
2012-10-17,14.92,14.96,14.6,14.77,14.121888,259500
2012-10-18,14.75,15.15,14.62,15.12,14.456529000000002,152500
2012-10-19,14.97,14.97,14.48,14.66,14.016712,142500
2012-10-22,14.65,14.65,13.63,13.88,13.270941,511800
2012-10-23,13.77,14.03,13.39,13.88,13.270941,624900
2012-10-24,13.99,14.23,13.45,13.5,12.907614,344100
2012-10-25,13.58,13.73,13.01,13.14,12.563411,410000
2012-10-26,13.16,13.33,13.01,13.13,12.553851,183900
2012-10-31,13.18,13.86,13.01,13.67,13.070153,351200
2012-11-01,13.72,13.9,13.07,13.48,12.888491,327000
2012-11-02,13.49,13.79,13.4,13.56,12.964983,402300
2012-11-05,13.53,13.76,13.3,13.73,13.127522,177300
2012-11-06,13.75,14.09,13.69,14.06,13.443042000000002,437500
2012-11-07,13.9,13.97,13.44,13.73,13.127522,587900
2012-11-08,14.7,15.9,14.7,15.46,14.78161,1677100
2012-11-09,15.28,15.69,15.22,15.41,14.733803,203400
2012-11-12,15.41,15.52,15.25,15.38,14.705117999999999,201300
2012-11-13,15.29,15.42,14.71,15.2,14.533017000000001,246300
2012-11-14,15.18,15.24,15.0,15.0,14.341795000000001,208700
2012-11-15,14.98,15.43,14.56,14.77,14.121888,173300
2012-11-16,14.65,14.81,14.11,14.7,14.054955999999999,505200
2012-11-19,14.81,15.4,14.81,15.29,14.619067999999999,113300
2012-11-20,15.26,15.47,14.99,15.32,14.647751000000001,79600
2012-11-21,15.33,15.37,15.1,15.31,14.63819,74900
2012-11-23,15.3,15.7,15.3,15.55,14.867659,35600
2012-11-26,15.54,16.08,15.52,15.93,15.230985,156800
2012-11-27,15.96,15.96,15.5,15.56,14.877220999999999,128100
2012-11-28,15.48,15.8,15.11,15.49,14.810291000000001,150000
2012-11-29,15.63,15.88,15.61,15.78,15.087565,82100
2012-11-30,15.84,15.9,15.24,15.83,15.135372,183900
2012-12-03,15.81,16.5,15.8,16.049999,15.345717,310900
2012-12-04,15.92,15.92,15.12,15.45,14.772046,1060700
2012-12-05,15.55,15.73,15.36,15.4,14.72424,250600
2012-12-06,15.36,15.54,15.2,15.34,14.666875,254900
2012-12-07,15.44,15.51,15.28,15.43,14.752925,158700
2012-12-10,15.46,15.62,14.87,15.09,14.427843,603800
2012-12-11,15.25,15.41,14.81,14.98,14.32267,277800
2012-12-12,15.05,15.54,15.0,15.42,14.743362,179500
2012-12-13,15.46,16.17,15.46,16.049999,15.345717,272500
2012-12-14,15.97,16.639999,15.71,16.280001000000002,15.565627,293600
2012-12-17,16.299999,16.790001,15.99,16.49,15.766414000000001,263000
2012-12-18,16.540001,16.790001,16.51,16.57,15.8429,207600
2012-12-19,16.610001,16.75,16.42,16.59,15.862024,272500
2012-12-20,16.639999,16.639999,16.040001,16.08,15.374403,195800
2012-12-21,15.9,15.99,14.89,15.66,14.972832,639300
2012-12-24,15.72,15.88,15.4,15.78,15.087565,22000
2012-12-26,15.86,16.1,15.63,15.8,15.106689000000001,151100
2012-12-27,15.81,16.030001000000002,15.59,15.73,15.039760999999999,77400
2012-12-28,15.66,15.88,15.51,15.69,15.001515,210500
2012-12-31,15.71,15.74,15.26,15.64,14.953709,318200
2013-01-02,16.0,16.780001000000002,15.86,16.389999,15.670796,454500
2013-01-03,16.440001000000002,16.469998999999998,15.99,16.219998999999998,15.508257,318400
2013-01-04,16.35,16.540001,16.120001000000002,16.309998999999998,15.594308999999999,165700
2013-01-07,16.200001,16.440001000000002,16.01,16.25,15.536942000000002,496200
2013-01-08,16.290001,16.549999,16.18,16.309998999999998,15.594308999999999,329400
2013-01-09,16.530001000000002,16.6,16.290001,16.48,15.75685,511700
2013-01-10,16.4,17.73,16.24,17.200001,16.445255,1217400
2013-01-11,17.25,17.34,16.780001000000002,17.0,16.254032000000002,383600
2013-01-14,17.559998999999998,17.58,16.6,17.0,16.254032000000002,511000
2013-01-15,16.969998999999998,17.129998999999998,16.709999,17.129998999999998,16.378326,286200
2013-01-16,17.01,17.23,16.459999,17.0,16.254032000000002,402400
2013-01-17,17.059998999999998,17.620001000000002,17.0,17.559998999999998,16.789459,628800
