Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,2.84,2.86,2.81,2.81,2.81,13000
2017-10-17,2.82,2.84,2.81,2.83,2.83,5700
2017-10-18,2.8,2.81,2.75,2.76,2.76,6500
2017-10-19,2.75,2.82,2.75,2.81,2.81,6100
2017-10-20,2.87,2.87,2.83,2.83,2.83,5500
2017-10-23,2.8,2.84,2.8,2.81,2.81,1800
2017-10-24,2.78,2.82,2.78,2.81,2.81,4300
2017-10-25,2.77,2.81,2.77,2.8,2.8,2600
2017-10-26,2.8,2.8,2.8,2.8,2.8,1800
2017-10-27,2.8,2.95,2.79,2.82,2.82,20200
2017-10-30,2.88,2.88,2.72,2.77,2.77,24800
2017-10-31,2.75,2.77,2.69,2.77,2.77,7500
2017-11-01,2.74,2.95,2.74,2.93,2.93,34600
