Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.49,14.53,14.41,14.48,9.07276,9200
2010-01-05,14.44,14.49,14.4,14.43,9.041439,10000
2010-01-06,14.47,14.51,14.4,14.49,9.079029,21000
2010-01-07,14.48,14.54,14.44,14.51,9.091560000000001,26000
2010-01-08,14.47,14.47,13.78,14.36,8.997575999999999,71300
2010-01-11,14.38,14.4,14.27,14.39,9.016372,9900
2010-01-12,14.35,14.42,14.28,14.42,9.035172,21000
2010-01-13,14.34,14.39,14.32,14.37,9.055968,13900
2010-01-14,14.33,14.46,14.33,14.46,9.112679,16500
2010-01-15,14.5,14.54,14.41,14.54,9.1631,36000
2010-01-19,14.56,14.61,14.52,14.57,9.182007,16800
2010-01-20,14.59,14.59,14.52,14.54,9.1631,13300
2010-01-21,14.52,14.58,14.49,14.53,9.156796,12100
2010-01-22,14.51,14.57,14.51,14.52,9.150496,16900
2010-01-25,14.5,14.59,14.45,14.51,9.144194,18400
2010-01-26,14.45,14.58,14.44,14.5,9.137894000000001,16500
2010-01-27,14.5,14.58,14.48,14.52,9.150496,19400
2010-01-28,14.52,14.58,14.47,14.52,9.150496,9400
2010-01-29,14.48,14.54,14.42,14.45,9.106380999999999,25700
2010-02-01,14.49,14.51,14.39,14.43,9.093779,19800
2010-02-02,14.43,14.49,14.4,14.42,9.087474,42000
2010-02-03,14.47,14.47,14.34,14.35,9.043362,29300
2010-02-04,14.36,14.37,14.23,14.32,9.024453999999999,16600
2010-02-05,14.26,14.39,14.22,14.32,9.024453999999999,21100
2010-02-08,14.28,14.35,14.26,14.35,9.043362,6700
2010-02-09,14.36,14.43,14.31,14.33,9.030763,38100
2010-02-10,14.28,14.45,14.26,14.45,9.159435,21700
2010-02-11,14.36,14.55,14.35,14.55,9.222819,36400
2010-02-12,14.55,14.58,14.54,14.54,9.216481,4600
2010-02-16,14.57,14.57,14.38,14.48,9.178448,26000
2010-02-17,14.46,14.56,14.4,14.47,9.17211,19500
2010-02-18,14.47,14.55,14.37,14.4,9.12774,26800
2010-02-19,14.41,14.52,14.32,14.4,9.12774,30000
2010-02-22,14.38,14.53,14.38,14.48,9.178448,18300
2010-02-23,14.55,14.66,14.32,14.58,9.241836,43100
2010-02-24,14.59,14.82,14.56,14.56,9.229158,27800
2010-02-25,14.56,14.56,14.44,14.45,9.159435,13900
2010-02-26,14.47,14.56,14.4,14.54,9.216481,10700
2010-03-01,14.65,14.68,14.57,14.62,9.267189,17700
2010-03-02,14.59,14.69,14.57,14.57,9.2355,23300
2010-03-03,14.64,14.79,14.6,14.69,9.311563,29100
2010-03-04,14.65,14.75,14.61,14.61,9.260854,17800
2010-03-05,14.64,14.67,14.57,14.65,9.286207000000001,15400
2010-03-08,14.65,14.75,14.65,14.73,9.336914,7800
2010-03-09,14.63,14.77,14.63,14.71,9.324235,15300
2010-03-10,14.72,14.79,14.66,14.75,9.349596,18700
2010-03-11,14.7,14.74,14.67,14.73,9.389753,6600
2010-03-12,14.73,14.75,14.73,14.74,9.396124,16600
2010-03-15,14.7,14.76,14.69,14.72,9.38338,12300
2010-03-16,14.7,14.75,14.69,14.7,9.370631,39100
2010-03-17,14.74,14.76,14.7,14.75,9.402502,88100
2010-03-18,14.75,14.76,14.71,14.73,9.389753,83800
2010-03-19,14.76,14.77,14.71,14.76,9.408878,16300
2010-03-22,14.74,14.77,14.68,14.72,9.38338,42800
2010-03-23,14.74,14.77,14.69,14.77,9.415255,30800
2010-03-24,14.77,14.85,14.73,14.8,9.434378,14900
2010-03-25,14.81,14.94,14.8,14.87,9.478995,13200
2010-03-26,14.89,14.98,14.89,14.92,9.510867999999999,9800
2010-03-29,14.97,15.02,14.86,14.87,9.478995,14300
2010-03-30,14.86,14.9,14.74,14.78,9.421622,13300
2010-03-31,14.74,14.84,14.72,14.84,9.459875,18600
2010-04-01,14.89,15.01,14.89,15.0,9.561865,11700
2010-04-05,15.02,15.06,14.96,14.97,9.542744,16100
2010-04-06,14.97,15.05,14.76,14.77,9.415255,22600
2010-04-07,14.81,14.96,14.81,14.96,9.536366000000001,13200
2010-04-08,14.96,14.99,14.87,14.97,9.542744,11900
2010-04-09,14.94,14.97,14.9,14.9,9.49812,14900
2010-04-12,14.94,14.97,14.9,14.97,9.542744,20700
2010-04-13,14.86,14.97,14.83,14.97,9.595951,16700
2010-04-14,14.95,15.12,14.95,15.11,9.685691,23100
2010-04-15,15.09,15.09,14.85,15.07,9.660046000000001,44900
2010-04-16,14.97,15.05,14.97,14.97,9.595951,20500
2010-04-19,15.01,15.05,14.98,14.98,9.602361,17400
2010-04-20,15.02,15.05,14.99,14.99,9.608765,29600
2010-04-21,15.03,15.03,14.98,14.99,9.608765,9100
2010-04-22,14.99,15.04,14.93,14.95,9.583127000000001,20400
2010-04-23,14.97,15.02,14.93,15.02,9.627997,11600
2010-04-26,15.03,15.05,14.94,15.04,9.640821,20100
2010-04-27,15.03,15.05,15.0,15.05,9.64723,17400
2010-04-28,15.01,15.08,15.01,15.08,9.666456,14400
2010-04-29,15.07,15.17,15.02,15.08,9.666456,19200
2010-04-30,15.11,15.15,15.05,15.09,9.672873,12500
2010-05-03,15.16,15.16,15.1,15.16,9.71774,14400
2010-05-04,15.16,15.17,15.12,15.14,9.704925999999999,8200
2010-05-05,15.12,15.14,14.93,14.98,9.602361,30400
2010-05-06,14.99,14.99,14.56,14.83,9.506206,32400
2010-05-07,14.92,14.95,14.69,14.76,9.461337,7100
