Date,Open,High,Low,Close,Adj Close,Volume
2010-01-06,21.139999,21.139999,21.139999,21.139999,20.815876,54.0
2010-01-07,20.799999,20.955,20.799999,20.955,20.633713,250.0
2010-01-08,20.75,20.75,20.75,20.75,20.431856,400.0
2010-01-11,21.0,21.0,20.709999,20.709999,20.392469000000002,140.0
2010-01-12,20.82,20.82,20.049999,20.565001000000002,20.249693,750.0
2010-01-13,20.07,20.07,19.41,19.535,19.235485,160.0
2010-01-14,19.620001000000002,19.620001000000002,19.025,19.025,18.733304999999998,200.0
2010-01-15,19.09,20.030001000000002,19.01,20.030001000000002,19.722897,80.0
2010-01-19,19.57,19.860001,19.200001,19.860001,19.555502,350.0
2010-01-20,20.1,20.1,20.1,20.1,19.791822,110.0
2010-01-21,19.809998999999998,19.809998999999998,19.59,19.59,19.289642,100.0
2010-01-22,,,,,,
2010-01-25,,,,,,
2010-01-26,,,,,,
2010-01-27,,,,,,
2010-01-28,19.99,19.99,19.559998999999998,19.745001000000002,19.442266,100.0
2010-01-29,19.549999,19.549999,19.549999,19.549999,19.250254,0.0
2010-02-01,19.5,19.5,19.5,19.5,19.201021,0.0
2010-02-02,20.450001,20.450001,20.125,20.125,19.816439000000003,7.0
2010-02-03,20.0,20.0,20.0,20.0,19.693356,0.0
2010-02-04,19.610001,19.610001,19.610001,19.610001,19.309336,0.0
2010-02-05,19.35,19.35,19.35,19.35,19.053322,0.0
2010-02-08,18.799999,18.799999,18.799999,18.799999,18.511753,0.0
2010-02-09,18.65,18.975,18.65,18.975,18.684071,350.0
2010-02-10,18.299999,18.48,18.299999,18.48,18.196661,250.0
2010-02-11,18.08,18.08,18.08,18.08,17.802794,0.0
2010-02-12,18.450001,18.450001,18.450001,18.450001,18.167122,0.0
2010-02-16,17.9,17.9,17.6,17.6,17.330153,190.0
2010-02-17,18.15,18.15,18.15,18.15,17.871719,0.0
2010-02-18,18.799999,18.799999,18.799999,18.799999,18.511753,0.0
2010-02-19,19.049999,19.049999,19.049999,19.049999,18.757921,0.0
2010-02-22,19.4,19.4,19.4,19.4,19.102554,0.0
2010-02-23,19.35,19.35,19.35,19.35,19.053322,0.0
2010-02-24,19.35,19.35,19.35,19.35,19.053322,0.0
2010-02-25,19.6,19.6,19.6,19.6,19.299488,0.0
2010-02-26,19.549999,19.549999,19.549999,19.549999,19.250254,0.0
2010-03-01,19.65,19.65,19.65,19.65,19.348720999999998,0.0
2010-03-02,19.799999,19.799999,19.799999,19.799999,19.496422,0.0
2010-03-03,20.0,20.0,20.0,20.0,19.693356,0.0
2010-03-04,20.32,20.639999,20.32,20.639999,20.323542,250.0
2010-03-05,20.6,20.6,20.6,20.6,20.284157,0.0
2010-03-08,20.799999,20.799999,20.799999,20.799999,20.481089,0.0
2010-03-09,20.799999,20.799999,20.799999,20.799999,20.481089,0.0
2010-03-10,20.799999,20.799999,20.799999,20.799999,20.481089,0.0
