Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.48,15.48,15.48,15.48,8.447230000000001,0
2010-01-05,15.48,15.48,15.48,15.48,8.447230000000001,0
2010-01-06,15.48,15.48,15.48,15.48,8.447230000000001,0
2010-01-07,15.48,15.48,15.48,15.48,8.447230000000001,0
2010-01-08,15.0,15.0,15.0,15.0,8.185298,700
2010-01-11,15.0,15.0,15.0,15.0,8.185298,0
2010-01-12,14.5,14.5,13.34,14.36,7.836060000000001,2800
2010-01-13,14.98,14.98,14.98,14.98,8.247904,300
2010-01-14,14.98,14.98,14.98,14.98,8.247904,0
2010-01-15,14.98,14.98,14.98,14.98,8.247904,0
2010-01-19,14.5,14.95,14.5,14.95,8.231391,800
2010-01-20,14.51,14.52,14.35,14.35,7.90103,900
2010-01-21,14.65,14.93,14.65,14.93,8.220376,500
2010-01-22,14.93,14.93,14.93,14.93,8.220376,0
2010-01-25,14.93,14.93,14.93,14.93,8.220376,0
2010-01-26,14.9,14.9,14.9,14.9,8.203861,900
2010-01-27,14.9,14.9,14.9,14.9,8.203861,0
2010-01-28,14.9,14.9,14.9,14.9,8.203861,0
2010-01-29,14.9,14.9,14.9,14.9,8.203861,0
2010-02-01,14.9,14.9,14.9,14.9,8.203861,0
2010-02-02,15.0,15.0,15.0,15.0,8.258917,100
2010-02-03,15.0,15.0,15.0,15.0,8.258917,0
2010-02-04,15.0,15.0,15.0,15.0,8.258917,0
2010-02-05,15.0,15.0,15.0,15.0,8.258917,0
2010-02-08,15.0,15.0,15.0,15.0,8.258917,0
2010-02-09,14.0,14.95,14.0,14.95,8.231391,600
2010-02-10,14.95,14.95,14.95,14.95,8.302474,0
2010-02-11,14.95,14.95,14.95,14.95,8.302474,0
2010-02-12,14.95,14.95,14.95,14.95,8.302474,0
2010-02-16,14.95,14.95,14.95,14.95,8.302474,0
2010-02-17,14.95,14.95,14.95,14.95,8.302474,0
2010-02-18,14.95,14.95,14.95,14.95,8.302474,0
2010-02-19,14.95,14.95,14.95,14.95,8.302474,0
2010-02-22,14.93,14.95,14.93,14.95,8.302474,500
2010-02-23,15.0,15.0,15.0,15.0,8.330239,1600
2010-02-24,14.8,14.8,14.53,14.53,8.069228,1200
2010-02-25,14.01,14.51,14.01,14.23,7.9026190000000005,1200
2010-02-26,14.23,14.23,14.23,14.23,7.9026190000000005,0
2010-03-01,14.28,14.5,14.28,14.5,8.052565,300
2010-03-02,14.5,14.5,14.5,14.5,8.052565,0
2010-03-03,14.5,14.5,14.5,14.5,8.052565,0
2010-03-04,14.8,15.0,14.8,15.0,8.330239,3000
2010-03-05,15.0,16.200001,15.0,16.200001,8.99666,5300
2010-03-08,16.200001,16.209999,15.99,16.0,8.885584,7600
2010-03-09,16.0,16.0,16.0,16.0,8.885584,0
2010-03-10,16.0,16.0,16.0,16.0,8.885584,0
2010-03-11,16.0,16.0,16.0,16.0,8.957245,0
2010-03-12,16.0,16.0,16.0,16.0,8.957245,0
2010-03-15,16.030001000000002,17.700001,16.0,17.700001,9.908956,2700
2010-03-16,18.0,18.0,16.690001000000002,17.01,9.522672,1900
2010-03-17,17.0,17.01,16.5,16.5,9.237165,11800
2010-03-18,16.16,16.18,16.15,16.15,9.04122,7900
2010-03-19,16.15,16.15,16.15,16.15,9.04122,0
2010-03-22,16.15,16.15,16.15,16.15,9.04122,0
2010-03-23,17.469998999999998,18.0,17.469998999999998,18.0,10.076902,2500
2010-03-24,18.0,18.0,17.09,17.9,10.02092,6800
2010-03-25,17.08,17.799999,17.08,17.799999,9.964934,600
2010-03-26,17.0,17.030001000000002,17.0,17.0,9.517076,1100
2010-03-29,17.0,17.0,17.0,17.0,9.517076,0
2010-03-30,17.09,17.5,17.09,17.5,9.796987,1000
2010-03-31,17.0,17.4,17.0,17.4,9.741006,1300
2010-04-01,17.4,17.4,17.4,17.4,9.741006,0
2010-04-05,17.049999,17.5,17.0,17.469998999999998,9.780191,3400
2010-04-06,17.469998999999998,17.469998999999998,17.469998999999998,17.469998999999998,9.780191,0
2010-04-07,17.469998999999998,17.469998999999998,17.469998999999998,17.469998999999998,9.780191,0
2010-04-08,17.469998999999998,17.5,17.469998999999998,17.5,9.796987,2700
2010-04-09,17.790001,17.85,17.790001,17.85,9.992927,500
2010-04-12,18.879998999999998,18.879998999999998,18.879998999999998,18.879998999999998,10.569549,1000
2010-04-13,18.870001000000002,18.889999,17.49,17.49,9.858227000000001,2500
2010-04-14,17.49,17.49,17.49,17.49,9.858227000000001,0
2010-04-15,18.049999,18.049999,17.73,17.82,10.044226,900
