Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.75,16.75,16.75,16.75,9.158246,0
2010-01-05,16.75,16.75,16.75,16.75,9.158246,0
2010-01-06,16.01,16.120001000000002,15.65,15.84,8.660691,1000
2010-01-07,15.85,16.200001,15.84,15.92,8.704433,1900
2010-01-08,16.24,16.24,15.92,15.92,8.704433,7300
2010-01-11,16.02,16.02,15.9,15.93,8.7099,1300
2010-01-12,16.0,16.18,16.0,16.18,8.846587,1000
2010-01-13,16.1,16.1,16.1,16.1,8.879683,500
2010-01-14,15.92,16.120001000000002,15.9,15.99,8.819011999999999,1800
2010-01-15,15.91,16.059998999999998,15.91,16.059998999999998,8.857622000000001,1400
2010-01-19,16.299999,16.299999,16.299999,16.299999,8.989987,600
2010-01-20,16.299999,16.299999,16.299999,16.299999,8.989987,0
2010-01-21,15.9,15.9,15.87,15.87,8.752828,300
2010-01-22,15.96,15.96,15.37,15.65,8.631491,2400
2010-01-25,15.71,15.71,15.5,15.56,8.581855000000001,1900
2010-01-26,15.53,15.6,15.4,15.6,8.603914,3500
2010-01-27,15.4,15.4,15.23,15.23,8.399848,1800
2010-01-28,15.2,15.25,15.06,15.06,8.306083000000001,4200
2010-01-29,15.06,15.06,15.06,15.06,8.306083000000001,0
2010-02-01,15.25,15.27,15.25,15.27,8.421911999999999,600
2010-02-02,15.75,15.75,15.32,15.32,8.449482000000001,700
2010-02-03,15.75,15.75,15.4,15.4,8.493608,700
2010-02-04,15.48,15.5,15.02,15.37,8.477064,6700
2010-02-05,15.37,15.37,15.37,15.37,8.477064,0
2010-02-08,16.0,16.700001,15.95,16.700001,9.210600999999999,2800
2010-02-09,16.58,16.58,16.4,16.48,9.089263,600
2010-02-10,16.48,16.48,16.48,16.48,9.167138000000001,0
2010-02-11,16.48,16.48,16.48,16.48,9.167138000000001,0
2010-02-12,16.48,16.48,16.48,16.48,9.167138000000001,0
2010-02-16,16.0,16.0,16.0,16.0,8.900141,100
2010-02-17,16.0,16.0,16.0,16.0,8.900141,500
2010-02-18,16.0,16.0,16.0,16.0,8.900141,0
2010-02-19,16.1,16.4,16.1,16.4,9.122641,400
2010-02-22,16.07,16.07,16.049999,16.049999,8.927953,1500
2010-02-23,16.07,16.07,15.81,15.81,8.794449,4400
2010-02-24,15.81,15.81,15.81,15.81,8.794449,0
2010-02-25,15.05,16.1,15.05,16.1,8.955761,2400
2010-02-26,16.360001,16.4,16.360001,16.4,9.122641,3400
2010-03-01,16.4,16.4,16.4,16.4,9.122641,0
2010-03-02,16.4,16.4,16.4,16.4,9.122641,0
2010-03-03,16.4,16.83,16.4,16.5,9.178265,12600
2010-03-04,16.83,16.83,16.6,16.75,9.317325,2200
2010-03-05,16.82,16.85,16.75,16.85,9.372956,3700
2010-03-08,17.82,17.82,17.82,17.82,9.91253,100
2010-03-09,17.82,17.82,17.82,17.82,9.91253,0
2010-03-10,17.790001,17.790001,17.790001,17.790001,9.895838000000001,100
2010-03-11,17.799999,18.0,17.530001000000002,17.9,10.036002,15200
2010-03-12,18.200001,18.200001,17.75,18.200001,10.204206,2300
2010-03-15,18.32,18.35,18.32,18.35,10.288308,4200
2010-03-16,18.49,18.49,18.35,18.35,10.288308,600
2010-03-17,18.4,18.49,18.35,18.35,10.288308,10900
2010-03-18,18.49,18.49,17.639999,18.42,10.327556,2500
2010-03-19,18.49,18.49,18.49,18.49,10.366804,100
2010-03-22,18.49,18.49,18.49,18.49,10.366804,0
2010-03-23,18.5,19.16,18.48,19.16,10.742448,5600
2010-03-24,19.0,19.15,18.48,18.5,10.372406,10100
2010-03-25,18.59,18.75,18.59,18.6,10.428475,10600
2010-03-26,18.6,18.6,18.6,18.6,10.428475,2000
2010-03-29,18.15,19.0,18.15,19.0,10.652745,300
2010-03-30,18.5,18.9,18.48,18.9,10.596680000000001,10900
2010-03-31,18.75,18.75,18.5,18.5,10.372406,2700
2010-04-01,18.969998999999998,19.0,18.870001000000002,19.0,10.652745,16100
2010-04-05,19.0,19.0,18.799999,18.9,10.596680000000001,14000
2010-04-06,19.120001000000002,19.120001000000002,19.120001000000002,19.120001000000002,10.720027,100
2010-04-07,19.120001000000002,19.120001000000002,19.120001000000002,19.120001000000002,10.720027,0
2010-04-08,18.280001000000002,18.5,18.280001000000002,18.5,10.372406,600
2010-04-09,18.57,19.15,18.57,19.15,10.736844999999999,300
2010-04-12,19.0,19.15,19.0,19.0,10.652745,1100
2010-04-13,19.15,19.200001,19.0,19.200001,10.844787,3600
2010-04-14,19.25,19.99,19.25,19.92,11.251463000000001,3500
2010-04-15,19.709999,20.1,19.709999,20.1,11.353135,4800
2010-04-16,20.1,20.1,20.1,20.1,11.353135,6500
2010-04-19,20.1,20.1,20.1,20.1,11.353135,0
2010-04-20,19.27,19.27,19.27,19.27,10.884323,200
2010-04-21,19.4,19.4,19.25,19.299999,10.90127,2800
2010-04-22,20.0,20.01,20.0,20.0,11.296654,2700
2010-04-23,19.280001000000002,19.280001000000002,19.200001,19.200001,10.844787,1000
2010-04-26,19.969998999999998,19.969998999999998,19.200001,19.25,10.873034,3600
2010-04-27,19.99,19.99,19.25,19.5,11.014236,4300
2010-04-28,19.76,20.16,19.76,20.16,11.387025,3100
2010-04-29,20.18,20.18,20.18,20.18,11.398323,1400
2010-04-30,20.18,20.18,20.18,20.18,11.398323,0
2010-05-03,20.25,22.01,20.25,21.35,12.059178999999999,600
2010-05-04,21.6,21.6,21.0,21.0,11.861488,600
2010-05-05,21.08,21.08,19.25,19.5,11.014236,11700
2010-05-06,19.799999,19.799999,19.700001,19.700001,11.127207,300
2010-05-07,19.639999,19.709999,19.639999,19.65,11.098958999999999,1100
2010-05-10,20.040001,20.969998999999998,19.459999,19.639999,11.093313,2500
2010-05-11,19.969998999999998,19.969998999999998,19.969998999999998,19.969998999999998,11.279710000000001,100
2010-05-12,19.969998999999998,20.48,19.969998999999998,20.219998999999998,11.420917,2100
2010-05-13,20.219998999999998,20.219998999999998,20.219998999999998,20.219998999999998,11.500537,0
2010-05-14,20.34,20.34,20.34,20.34,11.568798,100
