Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.48,15.48,14.97,14.97,9.370613,6600
2010-01-05,14.98,14.98,14.61,14.66,9.176567,4400
2010-01-06,14.67,14.74,14.5,14.52,9.088931,6100
2010-01-07,14.54,14.78,14.54,14.78,9.251682,3300
2010-01-08,14.84,14.9,14.75,14.81,9.270461,5300
2010-01-11,14.93,14.93,14.79,14.79,9.257942,400
2010-01-12,14.93,14.93,14.93,14.93,9.345574000000001,100
2010-01-13,14.93,15.0,14.93,15.0,9.438708,300
2010-01-14,15.0,15.0,15.0,15.0,9.438708,200
2010-01-15,15.15,15.17,15.01,15.16,9.539385000000001,9600
2010-01-19,15.19,15.2,15.05,15.2,9.564552,4300
2010-01-20,15.25,15.25,15.01,15.01,9.444998,2500
2010-01-21,15.05,15.2,15.01,15.01,9.444998,8800
2010-01-22,15.15,15.15,15.01,15.05,9.470168,1800
2010-01-25,15.14,15.14,15.0,15.0,9.438708,3100
2010-01-26,15.0,15.07,14.92,14.92,9.388366,5200
2010-01-27,15.02,15.07,14.93,15.0,9.438708,2000
2010-01-28,15.14,15.14,14.97,14.98,9.426123,4800
2010-01-29,14.97,15.09,14.92,14.97,9.419827,1700
2010-02-01,15.22,15.22,15.1,15.1,9.501631,2700
2010-02-02,15.15,15.15,15.1,15.1,9.501631,1500
2010-02-03,15.1,15.1,14.98,15.08,9.489044,2100
2010-02-04,15.13,15.13,15.05,15.05,9.470168,800
2010-02-05,15.1,15.1,15.1,15.1,9.501631,200
2010-02-08,15.1,15.11,15.09,15.11,9.507921000000001,700
2010-02-09,15.15,15.15,15.14,15.15,9.533093,1400
2010-02-10,15.06,15.06,15.06,15.06,9.525504,300
2010-02-11,15.06,15.06,15.06,15.06,9.525504,0
2010-02-12,15.05,15.05,15.05,15.05,9.519176,200
2010-02-16,15.04,15.1,14.95,14.95,9.455926,2100
2010-02-17,15.04,15.09,14.72,14.75,9.329429,15600
2010-02-18,14.8,14.8,14.75,14.75,9.329429,200
2010-02-19,14.75,14.75,14.67,14.67,9.278824,800
2010-02-22,14.69,14.69,14.59,14.6,9.234551,1200
2010-02-23,14.74,14.84,14.7,14.76,9.335753,6300
2010-02-24,14.83,14.9,14.83,14.89,9.417976,2300
2010-02-25,14.96,14.96,14.6,14.65,9.266176,5200
2010-02-26,14.69,14.75,14.63,14.75,9.329429,1800
2010-03-01,14.7,14.76,14.7,14.76,9.335753,1100
2010-03-02,14.76,14.79,14.6,14.61,9.240878,2500
2010-03-03,14.64,14.7,14.64,14.66,9.272499,3100
2010-03-04,15.01,15.01,14.71,14.8,9.361053,5300
2010-03-05,14.79,14.79,14.65,14.79,9.354726,3300
2010-03-08,14.77,14.79,14.73,14.79,9.354726,1700
2010-03-09,14.79,14.79,14.72,14.79,9.354726,4100
2010-03-10,14.75,14.76,14.71,14.71,9.304125,2100
2010-03-11,14.62,14.62,14.61,14.62,9.298404,3200
2010-03-12,14.67,14.67,14.61,14.65,9.317484,7700
2010-03-15,14.62,14.77,14.61,14.77,9.393807,69700
2010-03-16,14.65,14.76,14.61,14.74,9.374728,30200
2010-03-17,14.62,14.85,14.62,14.85,9.444681,18100
2010-03-18,14.9,14.91,14.9,14.91,9.482845,600
2010-03-19,14.93,14.96,14.9,14.93,9.495566,3200
2010-03-22,14.99,15.0,14.87,14.87,9.457407,8100
2010-03-23,15.0,15.09,14.93,14.93,9.495566,2600
2010-03-24,15.03,15.13,15.0,15.13,9.622764,4700
2010-03-25,15.2,15.2,15.06,15.1,9.603686999999999,6200
2010-03-26,15.17,15.17,15.02,15.02,9.552802999999999,2600
2010-03-29,15.02,15.02,15.02,15.02,9.552802999999999,2200
2010-03-30,15.02,15.08,15.02,15.03,9.559168,1600
2010-03-31,15.03,15.2,15.03,15.12,9.616408,10000
2010-04-01,15.27,15.27,15.12,15.12,9.616408,800
2010-04-05,15.26,15.26,15.13,15.13,9.622764,1200
2010-04-06,15.24,15.29,15.24,15.29,9.724525,1000
2010-04-07,15.36,15.36,15.03,15.03,9.559168,4300
2010-04-08,15.13,15.13,14.92,14.92,9.489202,2400
2010-04-09,15.1,15.1,15.05,15.05,9.571882,400
2010-04-12,15.06,15.07,15.01,15.07,9.5846,6800
2010-04-13,15.15,15.35,15.15,15.33,9.802652,3600
2010-04-14,15.35,15.35,15.31,15.31,9.789867,600
2010-04-15,15.48,15.48,15.2,15.2,9.719531,4400
2010-04-16,15.35,15.45,15.29,15.3,9.78347,1500
